ダウンロードした時刻：2021/05/16 23:44:09

,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田
,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),降雪量合計(cm),平均風速(m/s),平均現地気圧(hPa),平均湿度(％),天気概況(昼：06時～18時)
,,,,,,,,,,
2002年5月15日,///,///,///,0.0,///,--,///,957.0,///,曇
2002年5月16日,///,///,///,2.5,///,--,///,956.2,///,雨時々曇
2002年5月17日,///,///,///,26.0,///,--,///,954.9,///,雨時々曇
2002年5月18日,///,///,///,21.0,///,--,///,950.3,///,雨後曇一時晴
2002年5月19日,///,///,///,1.5,///,--,///,947.9,///,曇後一時雨
2002年5月20日,///,///,///,0.0,///,--,///,946.3,///,晴
2002年5月21日,///,///,///,--,///,--,///,949.1,///,晴
2002年5月22日,///,///,///,--,///,--,///,951.9,///,曇一時晴
2002年5月23日,///,///,///,0.0,///,--,///,948.8,///,曇後晴
2002年5月24日,///,///,///,--,///,--,///,946.8,///,晴
2002年5月25日,///,///,///,--,///,--,///,949.9,///,晴
2002年5月26日,///,///,///,1.5,///,--,///,952.9,///,晴後一時雨、雷を伴う
2002年5月27日,15.5,22.3,11.4,4.0,5.9,--,2.1,954.2,72,曇時々雨後一時晴、雷を伴う
2002年5月28日,16.7,25.3,9.0,--,11.3,--,2.3,956.0,56,晴
2002年5月29日,16.5,23.8,10.4,--,5.9,--,2.3,958.0,58,曇後時々晴
2002年5月30日,17.1,25.6,10.1,1.0,4.3,--,2.0,956.5,71,曇
2002年5月31日,17.4,21.8,14.5,0.0,1.2,--,2.4,950.8,78,曇時々雨
2002年6月1日,20.2,27.8,13.4,0.0,10.0,--,2.9,943.9,62,薄曇後一時晴
2002年6月2日,21.6,28.1,15.1,0.0,12.9,--,4.0,946.1,47,快晴
2002年6月3日,19.4,28.5,11.1,--,10.7,--,2.5,949.5,53,晴一時曇
2002年6月4日,20.6,29.1,12.5,--,8.0,--,2.4,950.1,57,晴後時々曇
2002年6月5日,21.8,30.7,14.2,0.0,10.8,--,2.1,949.6,55,晴一時薄曇
2002年6月6日,21.4,28.8,16.0,0.0,9.8,--,2.8,952.6,60,晴
2002年6月7日,22.3,30.4,14.7,--,11.8,--,2.5,953.5,60,晴
2002年6月8日,22.6,30.2,18.1,--,9.4,--,3.0,950.0,61,晴一時曇
2002年6月9日,21.5,29.4,15.8,0.0,12.6,--,3.8,946.4,43,晴
2002年6月10日,21.3,32.2,12.2,--,9.6,--,2.6,948.3,41,薄曇
2002年6月11日,20.1,23.5,15.4,24.0,--,--,2.2,945.6,89,雨時々曇
2002年6月12日,24.2,29.7,20.0,0.0,2.4,--,2.7,945.6,71,曇一時晴
2002年6月13日,21.9,26.7,17.9,0.0,3.8,--,2.3,945.0,71,曇時々晴一時雨
2002年6月14日,21.8,27.2,16.8,--,6.5,--,3.1,946.6,68,薄曇
2002年6月15日,22.7,29.3,17.9,0.0,7.3,--,2.6,947.5,68,曇後晴
2002年6月16日,20.6,24.4,17.5,0.0,0.4,--,2.1,949.7,74,曇
2002年6月17日,20.7,26.0,16.3,--,--,--,1.8,949.2,74,曇
2002年6月18日,17.8,21.5,13.8,16.0,1.7,--,1.6,944.4,84,雨後曇
2002年6月19日,19.6,29.6,11.3,--,10.4,--,2.0,948.6,67,晴一時曇
2002年6月20日,17.3,20.6,15.0,4.5,--,--,1.1,946.2,85,雨時々曇
2002年6月21日,22.0,28.1,16.4,0.0,9.1,--,4.0,941.3,66,薄曇時々晴
2002年6月22日,21.1,26.6,15.3,--,6.4,--,3.5,944.2,62,晴
2002年6月23日,20.2,26.1,16.6,0.0,3.3,--,2.8,947.1,65,曇
2002年6月24日,18.0,24.4,14.6,4.5,3.1,--,2.6,946.8,70,曇
2002年6月25日,15.7,19.1,13.2,8.5,--,--,1.1,945.7,90,雨時々曇
2002年6月26日,16.9,19.0,15.2,8.5,--,--,0.9,949.4,93,雨後一時曇
2002年6月27日,17.9,21.9,15.6,13.0,0.1,--,1.0,952.5,89,雨時々曇
2002年6月28日,20.7,27.6,16.6,--,6.6,--,2.2,954.8,73,曇後時々晴
2002年6月29日,19.5,24.0,16.2,7.5,--,--,1.4,954.3,80,曇
2002年6月30日,21.0,25.1,17.2,6.0,2.1,--,1.8,951.7,85,曇後時々雨
2002年7月1日,22.0,25.8,18.7,28.0,0.3,--,2.4,952.5,86,雨時々曇
2002年7月2日,23.5,30.4,20.1,5.5,2.5,--,2.1,953.8,80,曇時々雨
2002年7月3日,23.4,30.8,19.1,18.0,2.9,--,1.9,954.5,78,曇後一時晴
2002年7月4日,25.6,33.7,19.9,--,8.0,--,2.1,954.5,73,薄曇
2002年7月5日,25.7,31.3,21.8,--,3.5,--,2.2,953.8,72,曇
2002年7月6日,23.8,28.6,20.2,0.0,2.7,--,3.4,950.7,69,曇
2002年7月7日,22.5,23.9,20.9,0.0,0.6,--,2.4,949.8,83,雨時々曇
2002年7月8日,25.6,31.3,20.2,0.0,5.7,--,2.4,950.3,72,晴時々曇
2002年7月9日,25.4,31.8,21.0,0.0,4.6,--,1.8,947.3,76,晴後曇時々雨、雷を伴う
2002年7月10日,23.3,25.1,21.9,71.0,--,--,2.3,936.0,90,大雨
2002年7月11日,25.2,30.6,20.0,0.0,11.3,--,5.8,935.0,66,晴
2002年7月12日,24.7,31.8,17.2,--,13.0,--,3.1,944.2,63,晴
2002年7月13日,21.7,23.8,19.5,39.5,--,--,1.7,949.8,89,大雨時々曇、雷を伴う
2002年7月14日,25.2,29.7,22.0,0.5,1.6,--,3.7,948.8,77,曇一時晴
2002年7月15日,24.2,27.1,22.7,15.0,0.1,--,3.6,945.2,88,雨時々曇
2002年7月16日,24.9,30.3,21.0,13.5,7.3,--,3.4,938.3,75,曇一時雨後晴
2002年7月17日,21.8,25.7,19.6,10.5,0.9,--,1.7,945.0,85,雨時々曇、雷を伴う
2002年7月18日,24.0,30.9,19.1,27.0,6.1,--,2.5,950.0,78,晴時々曇
