ダウンロードした時刻：2021/05/16 23:41:48

,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田
,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),降雪量合計(cm),平均風速(m/s),平均現地気圧(hPa),平均湿度(％),天気概況(昼：06時～18時)
,,,,,,,,,,
2013年5月15日,18.9,27.3,11.4,--,11.6,--,3.6,953.3,57,
2013年5月16日,18.4,26.0,12.2,--,11.3,--,3.3,951.0,56,
2013年5月17日,18.2,26.3,9.9,--,13.1,--,3.0,954.4,46,
2013年5月18日,17.4,26.2,10.0,--,9.8,--,3.1,952.8,62,
2013年5月19日,14.7,23.1,10.3,14.0,4.6,--,2.6,945.6,69,
2013年5月20日,18.6,27.7,11.5,7.5,8.1,--,2.3,941.8,75,
2013年5月21日,21.0,30.0,13.6,--,12.4,--,3.7,945.4,54,
2013年5月22日,20.9,30.2,11.1,--,12.8,--,3.2,949.4,51,
2013年5月23日,20.6,29.6,13.4,--,12.9,--,2.8,949.5,49,
2013年5月24日,18.4,27.7,10.5,--,13.0,--,2.1,953.2,56,
2013年5月25日,18.9,27.3,12.2,--,8.8,--,2.8,958.0,62,
2013年5月26日,19.5,27.9,13.2,--,12.1,--,2.7,960.3,65,
2013年5月27日,19.6,26.0,15.6,--,4.7,--,2.6,960.6,70,
2013年5月28日,18.5,23.1,15.5,0.0,0.1,--,2.8,959.9,67,
2013年5月29日,17.7,19.7,15.0,2.0,0.0,--,2.7,955.7,81,
2013年5月30日,20.6,26.4,17.4,4.0,1.0,--,2.7,949.9,85,
2013年5月31日,21.2,29.1,16.0,--,11.0,--,2.8,949.7,62,
2013年6月1日,20.1,24.6,17.0,--,3.1,--,1.8,949.1,67,
2013年6月2日,18.6,25.8,15.6,0.5,2.0,--,1.8,946.6,74,
2013年6月3日,20.5,27.8,15.2,--,10.6,--,2.5,950.0,67,
2013年6月4日,21.6,29.6,15.4,--,10.7,--,2.7,955.8,63,
2013年6月5日,21.2,29.1,14.5,--,10.0,--,2.9,957.7,61,
2013年6月6日,19.9,24.4,16.1,--,1.2,--,2.1,954.9,72,
2013年6月7日,18.8,26.3,16.1,0.5,3.1,--,2.0,950.3,75,
2013年6月8日,20.9,27.6,14.8,0.0,9.6,--,2.6,949.7,60,
2013年6月9日,20.4,27.7,14.5,--,6.9,--,2.3,950.4,61,
2013年6月10日,20.9,27.1,16.7,--,2.1,--,2.3,950.5,66,
2013年6月11日,20.8,25.1,17.7,1.0,0.9,--,1.7,951.9,76,
2013年6月12日,22.3,27.7,18.3,0.0,1.7,--,1.6,951.0,77,
2013年6月13日,24.0,30.8,20.2,0.5,1.9,--,2.5,951.3,73,
2013年6月14日,24.0,30.6,18.6,0.0,4.5,--,2.3,952.6,80,
2013年6月15日,23.3,30.6,19.7,10.0,2.3,--,2.1,950.6,84,
2013年6月16日,23.5,29.9,19.2,4.5,4.6,--,2.4,947.0,77,
2013年6月17日,25.4,32.2,20.2,--,11.6,--,3.2,943.6,61,
2013年6月18日,24.6,28.8,20.6,0.0,3.7,--,3.3,942.1,62,
2013年6月19日,21.4,23.3,18.4,42.5,0.0,--,4.2,941.9,89,
2013年6月20日,18.9,20.8,17.8,14.0,0.0,--,1.9,947.2,94,
2013年6月21日,17.3,19.6,14.7,12.5,0.0,--,1.3,948.0,93,
2013年6月22日,18.0,26.4,12.9,0.5,3.7,--,1.6,946.0,81,
2013年6月23日,21.6,28.6,16.2,--,7.0,--,2.4,946.8,70,
2013年6月24日,20.6,26.7,17.7,16.5,2.8,--,1.7,946.3,81,
2013年6月25日,21.5,27.2,17.1,0.0,2.8,--,2.3,949.2,77,
2013年6月26日,18.3,19.2,17.6,17.5,0.0,--,1.1,942.4,94,
2013年6月27日,19.7,26.0,16.3,6.0,1.7,--,1.9,943.5,85,
2013年6月28日,20.3,26.3,16.2,0.0,2.5,--,2.3,948.3,77,
2013年6月29日,21.7,27.1,18.3,5.0,3.8,--,2.1,952.2,77,
2013年6月30日,21.4,25.7,18.5,--,2.5,--,2.6,955.8,75,
2013年7月1日,21.4,27.2,17.6,0.0,2.6,--,2.0,954.6,71,
2013年7月2日,22.0,27.9,18.5,0.0,5.1,--,3.0,953.8,73,
2013年7月3日,19.7,21.8,17.7,2.5,0.0,--,3.0,950.5,81,
2013年7月4日,22.1,25.9,19.6,8.5,0.2,--,2.1,947.4,91,
2013年7月5日,25.0,30.1,21.0,11.5,1.3,--,4.5,947.4,81,
2013年7月6日,25.0,29.9,22.3,12.0,0.6,--,3.8,951.4,82,
2013年7月7日,25.2,32.1,21.4,9.5,5.4,--,2.4,954.3,80,
2013年7月8日,26.7,34.1,20.2,--,9.4,--,2.9,954.6,70,
2013年7月9日,28.0,35.7,20.6,--,12.6,--,3.2,951.3,62,
2013年7月10日,28.3,35.0,21.1,--,11.9,--,3.5,949.7,61,
2013年7月11日,28.6,35.1,22.7,--,12.0,--,3.5,950.4,60,
2013年7月12日,28.1,35.1,21.6,--,12.3,--,2.6,951.4,58,
2013年7月13日,25.2,31.8,21.8,1.5,0.2,--,2.4,953.5,70,
2013年7月14日,24.2,32.0,19.7,0.5,4.0,--,2.1,953.9,76,
2013年7月15日,24.8,31.1,20.8,16.0,5.8,--,2.5,951.7,71,
2013年7月16日,24.4,30.0,19.5,--,5.7,--,2.8,954.1,71,
2013年7月17日,25.7,31.7,21.6,2.0,6.7,--,3.1,952.5,66,
2013年7月18日,25.4,32.1,21.1,26.5,10.2,--,4.9,947.0,68,
2013年7月19日,24.1,30.2,18.1,--,10.2,--,2.3,949.5,66,
2013年7月20日,24.5,32.1,18.6,--,9.9,--,2.4,951.6,67,
2013年7月21日,25.7,31.2,20.9,--,4.3,--,2.5,951.3,69,
2013年7月22日,26.1,32.4,22.1,0.0,5.4,--,2.5,950.6,70,
2013年7月23日,26.8,33.8,21.3,--,6.2,--,2.0,948.1,67,
2013年7月24日,22.8,24.7,21.3,10.5,0.0,--,1.4,946.5,89,
