ダウンロードした時刻：2021/05/16 23:43:21

,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田
,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),降雪量合計(cm),平均風速(m/s),平均現地気圧(hPa),平均湿度(％),天気概況(昼：06時～18時)
,,,,,,,,,,
2008年5月15日,15.1,23.1,7.7,--,13.0,--,3.5,954.1,46,
2008年5月16日,15.2,23.7,6.6,--,11.3,--,2.2,952.9,54,
2008年5月17日,16.8,24.6,9.3,--,8.9,--,2.3,949.8,60,
2008年5月18日,16.7,23.3,11.6,0.0,5.0,--,2.1,954.3,65,
2008年5月19日,16.6,22.0,13.4,7.5,2.3,--,2.9,953.5,67,
2008年5月20日,15.4,20.5,10.6,36.0,5.3,--,3.2,942.2,69,
2008年5月21日,16.4,26.7,7.6,--,12.9,--,1.9,951.7,55,
2008年5月22日,18.6,28.5,9.6,--,10.0,--,2.3,955.4,55,
2008年5月23日,20.7,29.3,12.8,--,9.8,--,2.3,954.4,56,
2008年5月24日,17.7,23.3,15.2,22.5,0.5,--,1.4,951.3,76,
2008年5月25日,19.5,23.9,15.1,48.0,1.2,--,3.2,942.8,78,
2008年5月26日,20.0,28.3,14.5,0.0,10.5,--,3.5,945.4,61,
2008年5月27日,19.1,28.1,11.1,--,12.9,--,2.2,948.3,53,
2008年5月28日,18.5,26.4,12.4,0.0,6.1,--,2.7,950.2,64,
2008年5月29日,16.0,20.1,13.3,29.0,0.1,--,1.5,945.9,82,
2008年5月30日,19.0,23.3,14.6,--,5.2,--,1.7,948.4,65,
2008年5月31日,14.7,17.7,13.0,11.0,--,--,1.5,947.9,83,
2008年6月1日,17.5,25.1,11.0,--,8.2,--,2.4,953.3,64,
2008年6月2日,15.3,17.9,13.2,5.5,--,--,1.3,957.6,79,
2008年6月3日,15.0,18.3,12.8,39.0,0.1,--,1.3,952.4,85,
2008年6月4日,17.9,23.7,14.4,0.0,1.1,--,1.7,953.8,71,
2008年6月5日,17.9,23.4,15.5,6.5,0.4,--,1.4,949.2,75,
2008年6月6日,18.9,24.5,14.1,2.0,5.5,--,3.1,948.5,66,
2008年6月7日,18.2,25.2,11.3,--,7.5,--,2.2,952.1,63,
2008年6月8日,19.9,26.8,15.5,0.0,4.2,--,1.9,951.2,66,
2008年6月9日,17.5,24.6,14.1,33.5,2.3,--,1.6,950.8,80,
2008年6月10日,19.3,26.9,13.5,--,7.8,--,2.0,951.0,67,
2008年6月11日,20.3,26.3,15.0,--,1.3,--,1.8,946.9,68,
2008年6月12日,19.9,25.3,15.8,13.5,3.1,--,1.9,944.4,68,
2008年6月13日,19.9,28.6,12.3,--,13.3,--,2.0,949.8,55,
2008年6月14日,20.4,28.4,13.5,--,11.4,--,3.2,952.1,54,
2008年6月15日,18.0,24.4,12.6,--,6.5,--,2.5,954.7,65,
2008年6月16日,20.8,29.0,15.0,--,8.6,--,2.2,953.6,65,
2008年6月17日,22.2,30.0,16.4,--,10.9,--,2.3,955.0,64,
2008年6月18日,22.4,28.0,17.6,--,8.4,--,2.7,956.6,62,
2008年6月19日,21.7,25.2,19.2,0.0,1.3,--,2.5,953.5,70,
2008年6月20日,23.1,29.9,18.9,28.5,4.2,--,2.4,948.8,75,
2008年6月21日,21.6,26.8,18.5,26.0,1.1,--,1.5,945.0,82,
2008年6月22日,20.1,21.0,19.3,67.5,--,--,1.2,939.6,90,
2008年6月23日,19.7,24.0,17.8,14.5,0.8,--,1.5,940.5,84,
2008年6月24日,21.9,28.1,17.7,4.0,8.6,--,2.4,944.9,70,
2008年6月25日,21.8,28.5,16.0,--,5.5,--,2.1,945.4,70,
2008年6月26日,21.8,25.7,19.1,0.5,1.6,--,2.4,945.8,73,
2008年6月27日,22.2,28.5,17.6,7.0,8.5,--,3.0,950.1,69,
2008年6月28日,21.1,26.5,17.0,0.0,2.2,--,2.3,953.3,73,
2008年6月29日,19.5,22.7,17.2,79.0,0.0,--,1.8,946.6,89,
2008年6月30日,22.2,27.3,19.0,--,1.9,--,2.5,946.1,76,
2008年7月1日,21.4,28.4,16.2,--,7.1,--,2.1,951.9,67,
2008年7月2日,22.4,28.8,17.5,--,9.8,--,2.5,952.5,66,
2008年7月3日,21.3,23.4,18.9,0.0,0.0,--,2.1,952.4,78,
2008年7月4日,25.7,30.9,21.3,4.0,6.1,--,3.0,949.3,66,
2008年7月5日,25.8,33.5,19.3,--,10.6,--,2.3,950.0,63,
2008年7月6日,24.9,31.0,20.6,1.5,6.1,--,2.0,951.2,72,
2008年7月7日,23.8,29.3,20.6,1.0,1.9,--,1.9,953.0,77,
2008年7月8日,22.7,27.3,20.5,5.0,3.2,--,1.5,952.0,76,
2008年7月9日,22.1,26.7,19.9,6.5,0.4,--,2.3,951.5,78,
2008年7月10日,23.1,29.3,18.8,2.0,6.5,--,2.4,949.9,71,
2008年7月11日,24.1,29.4,19.5,0.0,4.2,--,2.7,947.7,67,
2008年7月12日,25.3,33.0,19.5,--,8.0,--,1.8,947.1,65,
2008年7月13日,25.8,33.1,19.2,--,7.8,--,2.1,949.8,63,
2008年7月14日,26.2,33.0,21.5,0.5,6.1,--,2.3,950.5,68,
2008年7月15日,25.4,32.4,20.3,--,7.1,--,2.4,950.3,70,
2008年7月16日,26.1,31.8,22.0,--,3.6,--,2.5,948.9,69,
2008年7月17日,27.1,34.5,21.0,0.0,8.3,--,2.5,948.3,63,
2008年7月18日,25.5,29.4,23.1,2.5,2.1,--,1.4,947.6,78,
2008年7月19日,27.3,34.3,20.9,--,12.0,--,2.0,948.9,59,
2008年7月20日,27.2,34.4,22.0,--,7.0,--,2.6,949.6,66,
2008年7月21日,27.3,33.5,23.1,--,7.7,--,3.1,949.1,69,
2008年7月22日,27.7,34.0,23.3,--,9.4,--,2.8,949.6,64,
2008年7月23日,27.6,34.0,22.3,--,9.3,--,2.5,950.2,65,
2008年7月24日,28.4,35.5,22.5,--,11.4,--,2.9,948.3,61,
2008年7月25日,28.9,35.5,24.1,--,9.1,--,2.8,947.2,58,
