ダウンロードした時刻：2021/05/16 23:42:06

,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田
,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),降雪量合計(cm),平均風速(m/s),平均現地気圧(hPa),平均湿度(％),天気概況(昼：06時～18時)
,,,,,,,,,,
2015年5月15日,21.3,27.5,16.2,0.0,3.3,--,2.8,950.9,62,
2015年5月16日,19.8,24.9,15.6,6.5,2.2,--,2.1,943.8,80,
2015年5月17日,18.8,26.6,12.1,--,11.7,--,2.2,949.5,54,
2015年5月18日,18.1,26.2,12.2,5.5,4.4,--,2.5,950.8,56,
2015年5月19日,18.1,25.4,11.5,32.0,2.8,--,2.6,944.8,79,
2015年5月20日,19.5,28.7,10.8,0.0,10.5,--,3.3,942.3,58,
2015年5月21日,16.1,23.5,9.4,2.5,12.3,--,3.1,947.3,50,
2015年5月22日,15.6,24.8,7.9,--,9.5,--,2.5,954.1,50,
2015年5月23日,17.6,26.1,9.4,--,8.4,--,2.2,952.8,52,
2015年5月24日,19.5,26.7,14.4,--,5.6,--,1.9,947.9,57,
2015年5月25日,19.7,26.4,14.2,--,4.7,--,2.4,948.6,61,
2015年5月26日,21.1,29.0,13.8,--,9.8,--,1.7,948.2,55,
2015年5月27日,22.0,32.6,13.0,--,13.1,--,2.3,949.8,51,
2015年5月28日,21.1,28.8,14.2,--,8.9,--,2.4,952.4,58,
2015年5月29日,21.5,27.0,16.7,0.0,2.7,--,1.6,947.5,62,
2015年5月30日,23.7,32.5,16.1,0.0,10.8,--,2.8,942.9,52,
2015年5月31日,24.2,31.2,18.8,--,10.3,--,3.5,943.5,48,
2015年6月1日,21.8,29.2,16.0,--,9.2,--,2.9,951.2,56,
2015年6月2日,21.5,28.9,15.1,--,6.7,--,2.5,951.5,64,
2015年6月3日,19.2,23.1,15.6,29.5,0.0,--,2.4,942.9,83,
2015年6月4日,18.9,27.3,12.2,--,11.5,--,2.4,945.5,47,
2015年6月5日,13.4,16.7,10.2,53.5,1.2,--,1.4,949.3,74,
2015年6月6日,16.9,24.6,10.4,8.0,7.0,--,2.0,947.7,73,
2015年6月7日,17.9,24.6,12.5,--,4.3,--,2.4,957.4,66,
2015年6月8日,17.2,23.0,11.7,5.5,1.5,--,1.7,955.1,74,
2015年6月9日,17.4,20.3,15.0,24.0,0.0,--,1.2,945.1,91,
2015年6月10日,21.5,28.6,15.6,--,10.4,--,2.4,948.3,67,
2015年6月11日,19.6,26.1,16.2,3.0,3.4,--,2.0,950.2,74,
2015年6月12日,20.6,27.8,16.3,7.5,5.2,--,2.1,945.7,81,
2015年6月13日,22.6,30.0,15.6,--,8.9,--,2.6,950.0,58,
2015年6月14日,21.3,25.4,18.4,0.0,0.3,--,1.7,950.3,69,
2015年6月15日,22.6,29.9,16.1,--,9.9,--,2.5,949.2,63,
2015年6月16日,20.7,24.2,17.5,0.0,0.5,--,1.6,945.8,75,
2015年6月17日,19.8,26.6,16.8,6.0,2.9,--,2.0,946.2,81,
2015年6月18日,19.6,24.6,16.1,0.0,0.3,--,1.6,948.5,79,
2015年6月19日,18.9,22.2,16.7,0.0,0.0,--,1.7,946.5,80,
2015年6月20日,21.0,27.0,16.4,--,7.0,--,2.6,948.0,72,
2015年6月21日,18.6,22.7,17.3,24.0,1.6,--,1.7,950.0,87,
2015年6月22日,20.7,27.1,15.9,0.0,5.0,--,2.4,951.8,75,
2015年6月23日,21.4,29.4,17.4,3.0,7.7,--,2.4,951.8,73,
2015年6月24日,20.7,29.3,16.1,5.5,6.4,--,2.0,950.6,77,
2015年6月25日,22.9,30.1,17.6,--,7.6,--,2.3,947.7,69,
2015年6月26日,19.2,22.5,17.2,26.0,0.0,--,1.2,944.1,88,
2015年6月27日,20.8,24.7,17.3,1.0,0.3,--,3.3,940.0,77,
2015年6月28日,21.8,28.8,15.5,--,12.1,--,3.4,942.4,58,
2015年6月29日,21.0,28.7,15.0,--,11.4,--,2.5,948.8,66,
2015年6月30日,20.3,25.8,16.8,2.0,1.3,--,2.2,945.3,73,
2015年7月1日,19.9,23.8,15.9,73.5,0.1,--,3.0,936.7,88,
2015年7月2日,23.3,29.8,17.3,--,7.1,--,3.5,943.0,64,
2015年7月3日,19.8,21.9,17.7,18.5,0.0,--,2.0,946.5,92,
2015年7月4日,19.4,23.1,16.8,13.0,0.0,--,1.4,950.0,90,
2015年7月5日,19.3,22.9,16.5,3.0,0.1,--,1.4,950.7,86,
2015年7月6日,19.3,21.0,17.9,11.5,0.0,--,1.1,951.8,94,
2015年7月7日,19.3,22.2,17.0,2.0,0.0,--,1.2,953.9,90,
2015年7月8日,20.9,24.2,18.2,3.0,0.0,--,1.3,955.2,92,
2015年7月9日,21.9,26.7,20.0,29.0,0.3,--,1.0,954.8,94,
2015年7月10日,24.0,31.7,20.2,0.0,6.9,--,1.8,954.8,80,
2015年7月11日,25.5,33.5,20.5,--,10.9,--,2.1,953.3,70,
2015年7月12日,25.6,32.6,19.5,--,8.5,--,2.5,951.4,72,
2015年7月13日,26.4,32.0,22.2,0.0,5.6,--,3.5,950.2,70,
2015年7月14日,27.0,32.5,22.6,--,8.7,--,3.4,949.4,64,
2015年7月15日,26.1,33.7,19.7,0.0,11.2,--,2.6,948.8,64,
2015年7月16日,22.6,24.3,21.0,74.5,0.0,--,2.0,946.5,93,
2015年7月17日,23.5,27.1,21.4,27.0,0.1,--,3.4,947.9,85,
2015年7月18日,23.1,26.5,21.9,31.5,0.4,--,3.1,951.7,88,
2015年7月19日,24.2,28.4,20.4,1.5,3.2,--,2.1,955.6,83,
2015年7月20日,26.0,33.4,20.8,--,7.0,--,2.4,955.9,71,
2015年7月21日,25.8,32.7,19.9,--,12.9,--,2.9,955.1,69,
2015年7月22日,23.5,27.4,21.3,25.0,1.5,--,2.7,954.3,81,
2015年7月23日,23.0,25.3,21.6,32.5,0.0,--,2.9,953.0,90,
2015年7月24日,26.2,33.0,21.3,0.0,6.6,--,2.9,952.4,72,
