ダウンロードした時刻：2021/05/16 23:43:47

,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田
,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),降雪量合計(cm),平均風速(m/s),平均現地気圧(hPa),平均湿度(％),天気概況(昼：06時～18時)
,,,,,,,,,,
2005年5月15日,13.8,19.8,7.5,2.0,5.2,///,3.7,952.1,65,雨時々曇
2005年5月16日,13.1,21.9,4.1,--,12.5,///,3.0,954.0,45,快晴
2005年5月17日,14.8,23.6,7.0,--,12.5,///,2.5,957.3,60,快晴
2005年5月18日,14.5,21.4,10.0,7.0,4.3,///,3.1,952.3,72,晴一時曇後雨
2005年5月19日,19.0,24.1,14.0,0.5,6.9,///,4.5,947.8,61,晴後一時曇
2005年5月20日,16.0,22.9,10.2,--,6.7,///,2.5,951.4,56,晴後曇
2005年5月21日,16.8,26.0,8.5,--,8.7,///,2.0,951.3,53,薄曇後一時晴
2005年5月22日,15.1,19.1,12.9,4.0,--,///,1.8,947.7,72,雨時々曇
2005年5月23日,17.0,24.1,12.1,0.5,7.7,///,3.4,943.4,63,晴後一時雨
2005年5月24日,15.2,20.2,10.6,--,11.0,///,5.3,947.3,52,晴
2005年5月25日,15.4,23.9,7.9,--,10.6,///,2.7,952.1,58,晴
2005年5月26日,16.9,23.8,10.2,--,12.1,///,2.9,954.5,59,晴
2005年5月27日,18.8,26.3,12.3,0.0,10.1,///,3.1,954.1,59,晴
2005年5月28日,18.7,25.8,12.3,--,9.0,///,2.3,955.4,56,薄曇
2005年5月29日,18.7,26.0,13.3,0.0,6.6,///,2.1,957.2,62,曇後一時雨、雷を伴う
2005年5月30日,17.0,19.6,14.7,0.5,--,///,1.7,951.4,70,曇時々雨
2005年5月31日,18.6,25.8,13.7,15.5,5.7,///,2.4,944.6,66,曇一時雨後晴
2005年6月1日,19.1,28.1,11.9,--,7.7,///,2.4,949.2,54,薄曇
2005年6月2日,15.4,18.8,14.1,2.5,--,///,1.4,949.3,76,曇後雨
2005年6月3日,19.5,27.6,13.9,0.0,6.0,///,2.1,944.0,73,曇時々晴
2005年6月4日,19.6,28.2,15.2,0.5,6.8,///,2.5,944.5,69,晴後曇一時雨、雷を伴う
2005年6月5日,18.7,26.5,14.2,0.0,5.4,///,2.2,947.7,67,晴後一時雨
2005年6月6日,20.3,29.5,14.1,--,11.4,///,2.3,953.3,64,晴
2005年6月7日,21.0,26.9,17.0,0.0,5.7,///,2.8,956.7,64,曇
2005年6月8日,20.4,25.8,17.6,--,4.2,///,2.5,956.2,64,曇
2005年6月9日,21.5,29.1,14.4,--,11.0,///,2.5,951.5,63,晴
2005年6月10日,21.9,27.1,16.9,0.0,3.4,///,1.6,944.3,70,曇一時雨
2005年6月11日,19.9,22.0,18.1,11.5,0.1,///,1.9,940.2,85,雨
2005年6月12日,22.1,30.7,16.2,--,6.2,///,2.6,941.2,66,曇
2005年6月13日,22.4,31.2,15.7,--,11.0,///,2.3,945.8,59,晴
2005年6月14日,22.4,29.9,16.1,--,8.9,///,2.3,949.7,64,晴後一時曇
2005年6月15日,20.0,24.1,16.6,7.0,--,///,2.0,947.7,73,雨後曇
2005年6月16日,19.0,21.3,17.2,4.5,--,///,1.0,948.6,82,雨後曇
2005年6月17日,22.3,28.8,17.5,0.0,9.0,///,3.1,948.2,66,晴後薄曇
2005年6月18日,22.6,29.9,16.5,--,9.0,///,2.7,946.4,64,晴
2005年6月19日,22.6,28.0,18.1,0.0,6.6,///,3.0,945.5,68,晴後曇
2005年6月20日,23.4,30.7,19.1,0.0,7.7,///,2.3,944.7,66,曇後一時雨、雷を伴う
2005年6月21日,23.1,31.3,17.8,--,6.3,///,2.3,947.7,68,晴後薄曇
2005年6月22日,21.8,26.2,18.0,21.5,0.6,///,1.9,945.6,77,雨後曇
2005年6月23日,21.9,25.2,19.6,3.5,0.1,///,1.8,946.7,79,雨後曇
2005年6月24日,23.9,30.4,18.9,--,5.5,///,2.1,947.2,65,薄曇
2005年6月25日,24.8,33.2,17.6,--,12.1,///,2.2,949.0,61,快晴
2005年6月26日,25.5,32.1,20.4,--,6.1,///,2.7,949.8,66,薄曇
2005年6月27日,25.0,29.0,20.5,1.0,0.9,///,2.8,948.3,68,曇時々雨
2005年6月28日,25.7,28.3,22.9,0.0,--,///,3.6,947.6,67,曇時々雨
2005年6月29日,23.6,27.6,20.9,39.5,0.7,///,1.8,949.4,81,曇一時雨
2005年6月30日,24.5,31.1,21.3,5.5,4.1,///,3.4,950.0,74,雨後晴一時曇
2005年7月1日,21.2,22.6,20.0,45.5,0.2,///,1.5,948.1,88,大雨、雷を伴う
2005年7月2日,21.9,26.4,18.7,0.5,2.5,///,1.7,945.3,78,曇
2005年7月3日,21.5,27.6,17.8,8.5,3.0,///,1.5,945.8,80,曇後雨
2005年7月4日,21.2,23.1,19.3,92.0,--,///,2.5,940.1,90,大雨
2005年7月5日,25.1,31.0,20.3,0.5,7.2,///,3.5,939.5,69,薄曇
2005年7月6日,22.7,26.8,18.8,1.0,1.6,///,2.5,941.9,73,曇
2005年7月7日,21.2,28.2,17.7,1.0,4.1,///,2.2,947.2,75,曇後時々雨、雷を伴う
2005年7月8日,23.4,30.4,17.2,--,10.0,///,2.7,950.0,66,晴一時曇
2005年7月9日,21.4,25.5,18.7,13.0,0.1,///,2.0,950.2,81,曇後雨
2005年7月10日,23.5,29.5,20.2,1.5,2.4,///,2.1,946.8,78,曇時々雨
2005年7月11日,24.9,29.0,21.0,0.0,1.6,///,3.6,947.6,66,曇
2005年7月12日,24.9,29.0,20.8,4.5,2.1,///,3.7,946.4,69,雨後曇
2005年7月13日,24.3,30.9,17.6,0.5,8.8,///,2.7,952.4,67,晴後一時曇
2005年7月14日,25.5,31.8,20.9,3.0,7.4,///,2.8,955.1,68,晴一時曇
2005年7月15日,26.1,33.4,19.1,--,10.0,///,2.7,958.0,63,晴
2005年7月16日,25.9,32.4,21.0,--,4.3,///,2.2,957.3,64,曇、雷を伴う
