ダウンロードした時刻：2021/05/16 23:42:23

,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田
,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),降雪量合計(cm),平均風速(m/s),平均現地気圧(hPa),平均湿度(％),天気概況(昼：06時～18時)
,,,,,,,,,,
2017年5月15日,17.2,22.9,12.8,0.0,2.8,--,3.1,949.0,75,
2017年5月16日,16.0,23.1,10.3,--,5.3,--,2.5,947.3,64,
2017年5月17日,15.9,20.9,11.4,0.0,3.2,--,1.8,948.1,70,
2017年5月18日,16.9,23.1,11.0,0.0,4.3,--,2.1,952.8,67,
2017年5月19日,18.7,28.2,9.9,--,13.1,--,2.6,955.2,56,
2017年5月20日,20.7,31.4,11.0,--,13.1,--,2.1,955.3,56,
2017年5月21日,22.5,32.0,14.1,--,11.5,--,2.3,955.5,59,
2017年5月22日,22.1,30.4,15.5,--,12.5,--,2.7,954.5,61,
2017年5月23日,21.0,30.0,15.6,--,11.1,--,3.2,951.7,61,
2017年5月24日,18.3,22.7,13.9,0.0,0.8,--,1.8,949.1,72,
2017年5月25日,17.0,19.5,15.7,10.5,0.0,--,1.5,946.4,91,
2017年5月26日,18.1,23.3,15.7,15.0,1.2,--,2.0,943.8,89,
2017年5月27日,17.7,24.0,12.2,0.0,13.1,--,5.3,947.1,59,
2017年5月28日,17.8,27.5,9.5,--,13.2,--,2.8,950.5,63,
2017年5月29日,20.0,29.1,11.2,--,12.8,--,2.8,952.3,60,
2017年5月30日,22.6,33.8,13.4,--,10.7,--,3.0,950.2,59,
2017年5月31日,21.4,27.9,16.8,--,4.4,--,2.4,946.9,69,
2017年6月1日,20.1,25.9,15.7,3.0,5.0,--,2.5,939.5,69,
2017年6月2日,16.8,21.9,11.2,12.0,9.5,--,5.0,938.4,60,
2017年6月3日,15.9,24.4,7.6,--,13.3,--,3.5,942.6,56,
2017年6月4日,16.5,25.5,9.2,--,13.4,--,2.2,946.9,54,
2017年6月5日,16.7,25.7,8.9,--,11.1,--,2.2,952.6,55,
2017年6月6日,18.2,25.4,11.1,--,12.0,--,3.0,957.6,65,
2017年6月7日,17.0,21.0,14.0,4.5,0.0,--,2.4,955.1,80,
2017年6月8日,17.2,24.2,13.4,4.5,3.0,--,2.2,947.5,88,
2017年6月9日,20.1,28.3,12.9,--,8.4,--,2.9,946.6,66,
2017年6月10日,19.5,27.4,12.4,0.0,8.1,--,3.2,946.6,61,
2017年6月11日,18.6,26.9,11.9,--,9.3,--,3.0,945.3,52,
2017年6月12日,17.7,25.2,10.5,--,10.8,--,2.1,949.1,57,
2017年6月13日,18.5,25.4,11.8,--,12.6,--,3.2,951.4,59,
2017年6月14日,19.4,27.1,12.2,--,13.1,--,3.2,948.2,50,
2017年6月15日,19.9,28.3,10.8,--,13.0,--,3.0,947.0,51,
2017年6月16日,20.7,27.6,14.0,--,13.3,--,4.4,947.0,53,
2017年6月17日,20.3,29.0,12.4,--,10.1,--,2.8,950.6,62,
2017年6月18日,19.9,23.6,17.6,--,0.0,--,1.7,949.9,71,
2017年6月19日,22.3,30.5,13.7,--,12.3,--,2.0,949.1,56,
2017年6月20日,22.6,30.4,15.0,--,9.7,--,2.7,952.4,57,
2017年6月21日,17.8,21.0,15.5,61.5,0.0,--,2.0,946.0,93,
2017年6月22日,20.5,27.1,15.6,--,3.4,--,2.0,947.7,76,
2017年6月23日,21.7,29.6,15.0,--,8.0,--,2.4,948.0,71,
2017年6月24日,22.5,30.1,16.4,--,8.4,--,2.1,946.2,70,
2017年6月25日,20.3,22.9,17.2,5.5,0.4,--,1.9,942.3,90,
2017年6月26日,23.2,29.3,18.8,0.0,6.8,--,2.4,946.5,72,
2017年6月27日,22.7,28.1,19.5,0.5,1.5,--,2.2,951.2,80,
2017年6月28日,21.3,26.1,19.0,5.5,1.3,--,1.5,953.4,87,
2017年6月29日,23.0,28.6,18.6,0.0,3.2,--,2.1,954.3,80,
2017年6月30日,21.8,24.2,19.8,18.0,0.0,--,2.1,953.3,92,
2017年7月1日,23.4,26.8,21.4,10.0,0.1,--,2.6,950.3,87,
2017年7月2日,23.5,32.5,19.6,24.0,4.8,--,2.6,951.9,85,
2017年7月3日,26.4,31.5,20.9,0.0,5.8,--,2.9,950.4,71,
2017年7月4日,24.4,29.1,20.9,64.5,0.5,--,2.9,947.7,83,
2017年7月5日,24.5,29.7,20.3,0.0,6.3,--,3.5,948.5,74,
2017年7月6日,24.3,30.7,18.7,--,9.4,--,2.8,951.7,68,
2017年7月7日,25.0,33.0,17.7,--,12.1,--,2.5,951.6,59,
2017年7月8日,25.7,33.8,18.4,--,11.9,--,2.2,951.8,66,
2017年7月9日,25.4,30.7,20.7,--,4.8,--,1.9,951.5,75,
2017年7月10日,25.9,33.1,21.1,--,10.3,--,2.4,951.6,70,
2017年7月11日,25.9,33.4,20.9,0.0,8.1,--,3.0,953.1,76,
2017年7月12日,26.1,32.2,22.8,0.5,5.0,--,2.8,952.1,79,
2017年7月13日,26.0,32.1,22.3,9.5,5.3,--,2.7,951.1,79,
2017年7月14日,25.3,32.6,21.0,1.5,5.7,--,2.3,953.0,76,
2017年7月15日,26.2,34.2,19.5,--,10.9,--,2.6,953.7,68,
2017年7月16日,26.2,33.1,20.5,0.0,8.7,--,3.4,952.8,71,
2017年7月17日,25.6,33.3,21.7,4.0,5.1,--,2.5,950.9,77,
2017年7月18日,25.5,31.8,21.2,0.0,5.6,--,2.1,948.3,70,
2017年7月19日,24.2,32.3,19.6,2.5,7.8,--,2.2,949.4,78,
2017年7月20日,26.4,33.4,21.0,--,10.1,--,2.4,952.2,72,
2017年7月21日,26.8,33.5,21.2,--,10.5,--,2.9,953.8,70,
2017年7月22日,26.9,34.1,22.4,--,8.8,--,2.8,952.6,73,
2017年7月23日,24.2,27.5,22.6,3.0,0.0,--,2.2,949.2,85,
2017年7月24日,26.0,30.4,22.2,2.0,2.5,--,2.6,945.6,81,
2017年7月25日,26.0,30.1,23.3,0.5,0.6,--,2.3,945.0,86,
