ダウンロードした時刻：2021/05/16 23:42:51

,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田,飯田
,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),降雪量合計(cm),平均風速(m/s),平均現地気圧(hPa),平均湿度(％),天気概況(昼：06時～18時)
,,,,,,,,,,
2019年5月15日,16.6,24.2,11.6,--,7.8,--,2.2,954.7,74,
2019年5月16日,17.6,25.8,14.0,1.5,5.7,--,2.3,954.2,76,
2019年5月17日,18.4,25.0,13.9,1.5,6.8,--,2.3,957.4,72,
2019年5月18日,18.3,26.0,13.0,--,8.3,--,2.6,959.6,61,
2019年5月19日,17.9,25.4,11.8,--,10.7,--,3.0,958.8,59,
2019年5月20日,17.3,25.0,11.1,0.5,9.5,--,2.9,953.1,70,
2019年5月21日,17.1,23.3,14.1,70.0,6.1,--,1.6,942.7,85,
2019年5月22日,18.0,26.5,12.1,--,10.5,--,2.7,945.1,59,
2019年5月23日,17.9,27.7,8.8,--,13.2,--,2.1,948.9,52,
2019年5月24日,19.3,29.0,9.8,--,12.3,--,1.8,951.5,46,
2019年5月25日,21.0,32.4,10.7,--,13.2,--,1.8,956.6,46,
2019年5月26日,22.1,32.2,13.4,--,12.3,--,1.6,958.0,52,
2019年5月27日,23.3,33.0,14.7,--,10.3,--,2.6,954.7,49,
2019年5月28日,17.4,21.3,15.0,18.0,0.0,--,2.4,950.0,77,
2019年5月29日,17.9,22.6,12.1,6.0,4.9,--,4.0,944.8,69,
2019年5月30日,17.2,26.4,7.8,--,12.8,--,2.7,952.4,60,
2019年5月31日,16.7,22.2,13.6,1.0,0.4,--,1.7,951.2,79,
2019年6月1日,19.0,27.3,12.8,--,9.2,--,3.0,949.2,63,
2019年6月2日,17.7,21.8,13.2,--,0.4,--,1.5,950.8,69,
2019年6月3日,21.0,28.8,14.8,0.0,8.1,--,2.6,949.3,68,
2019年6月4日,21.1,28.4,15.1,--,8.2,--,2.5,951.5,72,
2019年6月5日,21.1,27.5,17.1,--,4.9,--,2.3,950.6,70,
2019年6月6日,22.8,31.9,15.3,--,10.7,--,2.0,951.5,60,
2019年6月7日,17.4,20.1,16.0,40.0,0.0,--,1.3,947.4,92,
2019年6月8日,21.7,26.8,16.8,4.0,5.0,--,3.2,940.9,76,
2019年6月9日,18.5,22.9,16.5,2.5,0.2,--,1.6,945.5,82,
2019年6月10日,16.9,21.9,14.7,17.5,1.0,--,1.6,943.6,89,
2019年6月11日,17.8,25.7,13.4,5.5,6.3,--,2.5,945.2,82,
2019年6月12日,16.7,23.6,13.0,4.0,2.6,--,1.5,947.5,86,
2019年6月13日,19.4,27.4,13.9,--,8.7,--,2.3,951.8,74,
2019年6月14日,19.5,27.0,14.4,1.0,6.6,--,2.5,951.3,71,
2019年6月15日,16.3,19.0,14.4,25.0,0.0,--,1.9,937.6,93,
2019年6月16日,17.8,21.9,14.6,4.5,2.2,--,4.9,937.6,75,
2019年6月17日,19.1,27.2,11.8,--,11.6,--,2.5,949.1,64,
2019年6月18日,19.6,25.6,13.1,--,7.7,--,2.5,951.7,67,
2019年6月19日,21.2,29.2,13.4,--,11.7,--,2.8,947.2,66,
2019年6月20日,22.7,30.0,16.0,--,11.8,--,2.8,946.0,67,
2019年6月21日,21.9,28.8,16.6,--,6.4,--,2.8,948.9,70,
2019年6月22日,22.5,28.9,18.0,0.0,6.3,--,2.0,944.1,70,
2019年6月23日,21.8,27.1,17.6,3.0,3.4,--,2.4,944.8,76,
2019年6月24日,19.6,25.0,15.7,10.0,3.3,--,1.7,949.7,82,
2019年6月25日,20.4,28.0,13.7,--,7.3,--,2.5,956.1,73,
2019年6月26日,22.3,29.5,15.2,--,10.2,--,2.6,955.3,66,
2019年6月27日,21.9,24.1,20.2,25.0,0.0,--,2.5,949.5,86,
2019年6月28日,23.0,27.3,20.0,8.0,2.0,--,2.8,943.3,85,
2019年6月29日,22.8,27.2,19.5,2.0,0.8,--,2.1,943.7,90,
2019年6月30日,22.8,25.8,21.1,56.5,0.1,--,4.0,941.6,97,
2019年7月1日,22.9,26.3,19.7,0.0,0.7,--,2.9,945.6,83,
2019年7月2日,22.2,27.7,19.3,0.0,1.2,--,1.6,949.2,83,
2019年7月3日,22.9,27.4,19.8,11.0,1.4,--,2.2,950.9,83,
2019年7月4日,22.6,27.2,20.4,38.0,1.6,--,2.2,945.4,89,
2019年7月5日,22.5,26.0,19.8,0.0,0.3,--,1.3,945.2,81,
2019年7月6日,22.6,28.5,18.7,0.5,3.3,--,1.6,943.2,79,
2019年7月7日,22.6,27.0,19.1,3.0,1.0,--,1.9,945.3,80,
2019年7月8日,22.2,27.9,19.2,4.0,3.1,--,2.5,947.5,85,
2019年7月9日,21.8,28.3,19.8,0.0,2.7,--,2.4,947.9,82,
2019年7月10日,22.9,29.3,19.1,--,5.6,--,2.6,950.4,76,
2019年7月11日,20.0,23.8,18.2,10.5,0.0,--,2.1,952.2,87,
2019年7月12日,23.2,29.3,18.4,8.0,7.1,--,3.0,945.9,77,
2019年7月13日,21.4,27.3,18.5,7.5,0.8,--,1.6,945.1,85,
2019年7月14日,21.1,24.8,17.9,18.0,0.3,--,1.4,942.3,92,
2019年7月15日,22.4,25.5,20.1,10.5,0.2,--,1.7,946.4,94,
2019年7月16日,22.4,25.9,20.6,25.5,0.3,--,1.9,951.5,93,
2019年7月17日,24.5,31.3,20.3,--,8.0,--,2.5,953.6,78,
2019年7月18日,21.3,25.9,20.0,54.0,0.7,--,1.4,954.6,94,
2019年7月19日,22.6,28.2,20.1,7.0,1.2,--,2.5,954.4,91,
2019年7月20日,22.3,24.8,20.6,1.0,0.0,--,1.1,956.5,94,
2019年7月21日,24.1,28.5,20.4,--,0.0,--,1.8,955.3,84,
2019年7月22日,22.4,26.1,20.9,30.5,0.3,--,1.3,951.5,96,
2019年7月23日,25.5,32.6,20.5,--,8.6,--,2.6,946.7,78,
2019年7月24日,26.3,32.7,21.5,--,9.1,--,2.5,948.1,76,
